khoảng cách trên,khoảng cách dưới
0.587,0.848,08_05_30
0.664,0.831,08_05_32
0.609,0.851,08_05_33
0.589,0.783,08_05_34
0.732,0.82,08_05_36
0.664,0.815,08_05_50
0.698,0.801,08_05_52
0.675,0.908,08_05_54
0.664,0.793,08_05_56
0.669,0.827,08_05_58
0.674,0.803,08_05_59
0.665,0.763,08_06_01
0.67,0.866,08_06_03
0.613,0.789,08_06_05
0.646,0.764,08_06_13
0.673,0.857,08_06_14
0.595,0.885,08_06_16
0.609,0.902,08_06_18
0.619,0.831,08_06_20
0.651,0.812,08_06_22
0.571,0.786,08_06_24
0.648,0.847,08_06_25
0.599,0.814,08_06_27
0.655,0.915,08_06_29
0.651,0.832,08_06_34
0.625,0.894,08_06_36
0.738,0.876,08_06_37
0.725,0.873,08_06_39
0.723,0.904,08_06_41
0.751,0.891,08_06_43
0.706,0.915,08_06_45
0.666,0.833,08_06_46
0.66,0.944,08_06_48
0.693,0.918,08_06_50
0.719,0.866,08_06_52
0.661,0.9,08_06_53
0.648,0.901,08_06_57
0.693,0.865,08_06_59
0.765,0.923,08_07_00
0.706,0.821,08_07_02
0.696,0.866,08_07_04
0.653,0.895,08_07_06
0.658,0.955,08_07_07
0.694,0.898,08_07_08
0.721,0.858,08_07_10
0.647,0.874,08_07_11
0.657,0.89,08_07_13
0.823,0.817,08_07_15
0.654,0.876,08_07_19
0.633,0.874,08_07_21
