khoảng cách trên,khoảng cách dưới
0.732,0.75,08_13_02
0.711,0.726,08_13_03
0.702,0.762,08_13_05
0.644,0.751,08_13_07
0.656,0.715,08_13_08
0.675,0.703,08_13_10
0.632,0.739,08_13_11
0.708,0.772,08_13_13
0.612,0.66,08_13_14
0.616,0.792,08_13_16
0.675,0.725,08_13_18
0.715,0.689,08_13_20
0.706,0.696,08_13_21
0.735,0.801,08_13_22
0.779,0.639,08_13_24
0.709,0.707,08_13_39
0.676,0.694,08_13_40
0.719,0.718,08_13_42
0.678,0.71,08_13_44
0.682,0.724,08_13_45
0.633,0.755,08_13_47
0.67,0.789,08_13_48
0.707,0.677,08_13_50
0.728,0.725,08_13_52
0.73,0.69,08_13_53
0.702,0.728,08_13_55
0.7,0.747,08_13_56
0.655,0.791,08_14_09
0.616,0.697,08_14_11
0.7,0.739,08_14_12
0.692,0.716,08_14_14
0.733,0.707,08_14_15
0.68,0.699,08_14_17
0.651,0.65,08_14_19
0.659,0.728,08_14_20
0.68,0.775,08_14_22
0.677,0.695,08_14_24
0.71,0.745,08_14_26
0.67,0.706,08_14_27
0.694,0.718,08_14_29
0.721,0.673,08_14_31
0.688,0.702,08_14_32
0.692,0.717,08_14_34
0.65,0.725,08_14_35
0.682,0.682,08_14_37
0.636,0.755,08_14_39
0.681,0.694,08_14_40
0.661,0.693,08_14_42
0.658,0.741,08_14_44
0.739,0.756,08_14_45
0.714,0.748,08_14_47
0.702,0.71,08_15_03
0.707,0.708,08_15_05
0.744,0.754,08_15_06
0.714,0.761,08_15_08
0.629,0.791,08_15_10
0.667,0.706,08_15_11
0.691,0.655,08_15_13
0.667,0.661,08_15_14
0.73,0.813,08_15_16
0.697,0.811,08_15_18
0.744,0.83,08_15_19
0.664,0.855,08_15_21
0.637,0.864,08_15_22
0.689,0.849,08_15_24
0.671,0.827,08_15_26
0.653,0.766,08_15_30
0.671,0.797,08_15_32
0.68,0.707,08_15_34
0.704,0.76,08_15_35
0.633,0.708,08_15_37
0.669,0.742,08_15_38
0.668,0.746,08_15_40
0.64,0.691,08_15_42
0.698,0.742,08_15_43
0.686,0.754,08_15_45
0.675,0.753,08_15_46
0.652,0.841,08_15_48
0.629,0.789,08_15_50
0.686,0.838,08_15_51
0.64,0.783,08_15_53
0.638,0.8,08_15_54
0.685,0.814,08_15_56
0.62,0.854,08_15_58
0.732,0.766,08_15_59
0.665,0.829,08_16_01
0.655,0.747,08_16_03
0.692,0.869,08_16_05
0.711,0.861,08_16_06
0.659,0.89,08_16_08
0.686,0.857,08_16_09
0.665,0.871,08_16_11
0.643,0.842,08_16_13
0.682,0.778,08_16_14
0.632,0.846,08_16_16
0.652,0.871,08_16_17
0.693,0.86,08_16_19
0.615,0.837,08_16_21
0.621,0.701,08_16_22
0.671,0.815,08_16_24
0.614,0.835,08_16_25
0.632,0.733,08_16_27
0.686,0.762,08_16_29
0.66,0.778,08_16_30
0.643,0.814,08_16_32
0.617,0.803,08_16_41
0.593,0.836,08_16_43
0.707,0.847,08_16_45
0.707,0.808,08_16_46
0.67,0.791,08_16_48
0.719,0.818,08_16_49
0.649,0.834,08_16_51
0.664,0.795,08_16_52
0.66,0.919,08_16_54
0.688,0.845,08_16_55
0.669,0.811,08_16_57
0.665,0.817,08_16_59
0.708,0.832,08_17_01
0.599,0.809,08_17_02
0.647,0.89,08_17_04
0.721,0.843,08_17_05
0.682,0.78,08_17_07
0.692,0.871,08_17_09
0.687,0.823,08_17_10
0.7,0.8,08_17_12
0.673,0.922,08_17_13
0.655,0.837,08_17_15
0.68,0.892,08_17_16
0.664,0.883,08_17_18
0.709,0.883,08_17_20
0.684,0.882,08_17_21
0.667,0.826,08_17_23
0.694,0.862,08_17_24
0.669,0.803,08_17_30
0.665,0.813,08_17_31
0.758,0.818,08_17_33
0.728,0.85,08_17_35
0.698,0.813,08_17_36
0.711,0.821,08_17_38
0.685,0.878,08_17_39
0.681,0.758,08_17_41
0.679,0.916,08_17_43
0.648,0.766,08_17_44
0.667,0.881,08_17_46
0.749,0.834,08_17_47
0.682,0.753,08_17_49
0.708,0.79,08_17_51
0.675,0.874,08_17_52
0.657,0.902,08_17_54
0.659,0.732,08_17_55
0.658,0.769,08_17_57
0.687,0.869,08_17_59
0.714,0.802,08_18_00
0.635,0.736,08_18_02
0.661,0.864,08_18_03
0.677,0.823,08_18_05
0.721,0.844,08_18_07
0.633,0.815,08_18_08
0.681,0.849,08_18_10
0.615,0.88,08_18_11
0.602,0.868,08_18_13
0.651,0.913,08_18_15
0.631,0.803,08_18_16
0.638,0.941,08_18_18
0.709,0.831,08_18_19
0.628,0.813,08_18_21
0.649,0.817,08_18_23
0.628,0.897,08_18_24
0.64,0.786,08_18_26
0.666,0.859,08_18_27
0.653,0.849,08_18_29
0.7,0.896,08_18_31
0.652,0.928,08_18_32
0.614,0.887,08_18_34
0.652,0.848,08_18_36
0.677,0.887,08_18_37
0.723,0.849,08_18_39
0.657,0.839,08_18_40
0.656,0.829,08_18_42
0.663,0.884,08_18_44
0.672,0.867,08_18_45
0.651,0.863,08_18_47
0.646,0.852,08_18_48
0.627,0.935,08_18_50
0.694,0.843,08_18_51
0.686,0.916,08_18_53
0.691,0.833,08_18_55
0.71,0.772,08_18_56
0.673,0.781,08_18_58
0.677,0.847,08_19_00
0.653,0.873,08_19_01
0.652,0.855,08_19_03
0.679,0.845,08_19_05
0.659,0.894,08_19_06
0.654,0.814,08_19_08
0.67,0.844,08_19_09
0.671,0.848,08_19_11
0.689,0.866,08_19_13
0.684,0.819,08_19_28
0.661,0.843,08_19_30
0.609,0.843,08_19_32
0.656,0.869,08_19_33
0.658,0.906,08_19_35
0.671,0.86,08_19_36
0.622,0.779,08_19_38
0.706,0.868,08_19_40
0.669,0.795,08_19_42
0.646,0.84,08_19_44
0.668,0.773,08_19_45
0.643,0.761,08_19_47
0.67,0.837,08_19_49
0.725,0.869,08_19_50
0.687,0.787,08_19_52
0.672,0.849,08_19_53
0.634,0.811,08_19_55
0.652,0.862,08_19_56
0.629,0.872,08_19_58
0.688,0.901,08_20_00
0.664,0.79,08_20_01
0.645,0.87,08_20_03
0.759,0.884,08_20_05
0.732,0.815,08_20_06
0.584,0.841,08_20_08
0.652,0.852,08_20_09
0.658,0.796,08_20_11
0.658,0.79,08_20_12
0.619,0.808,08_20_14
0.629,0.842,08_20_16
0.665,0.795,08_20_18
0.666,0.846,08_20_19
0.685,0.763,08_20_21
0.706,0.801,08_20_22
0.627,0.821,08_20_24
0.681,0.846,08_20_25
0.611,0.853,08_20_27
0.641,0.855,08_20_28
0.675,0.824,08_20_30
0.703,0.882,08_20_32
0.62,0.834,08_20_33
0.653,0.817,08_20_35
0.689,0.782,08_20_36
0.695,0.803,08_20_38
0.643,0.882,08_20_40
0.674,0.854,08_20_41
0.651,0.892,08_20_43
0.691,0.899,08_20_44
0.691,0.794,08_20_46
0.64,0.834,08_20_48
0.693,0.802,08_20_49
0.691,0.849,08_20_51
0.666,0.797,08_20_53
0.613,0.779,08_20_54
0.624,0.889,08_20_56
0.671,0.792,08_20_58
0.707,0.791,08_20_59
0.68,0.917,08_21_00
0.667,0.828,08_21_02
0.665,0.9,08_21_04
0.74,0.89,08_21_05
0.642,0.804,08_21_07
0.668,0.839,08_21_09
0.693,0.765,08_21_10
0.662,0.898,08_21_12
0.642,0.838,08_21_13
0.695,0.829,08_21_15
0.659,0.868,08_21_17
0.73,0.887,08_21_18
0.672,0.862,08_21_20
0.64,0.866,08_21_21
0.707,0.848,08_21_23
0.693,0.852,08_21_25
0.654,0.767,08_21_26
0.679,0.86,08_21_28
0.644,0.795,08_21_29
0.643,0.847,08_21_31
0.671,0.819,08_21_33
0.708,0.833,08_21_35
0.619,0.88,08_21_37
0.691,0.827,08_21_39
0.615,0.92,08_21_40
0.689,0.857,08_21_42
0.656,0.86,08_21_44
0.668,0.862,08_21_45
0.644,0.802,08_21_47
0.67,0.799,08_21_48
0.681,0.786,08_21_50
0.654,0.818,08_21_52
0.655,0.85,08_21_53
0.692,0.797,08_21_55
0.703,0.768,08_21_57
0.745,0.843,08_21_58
0.636,0.815,08_22_00
0.595,0.862,08_22_01
0.647,0.847,08_22_03
0.705,0.899,08_22_05
0.645,0.793,08_22_07
0.687,0.844,08_22_08
0.68,0.85,08_22_10
0.649,0.806,08_22_12
0.699,0.867,08_22_13
0.691,0.916,08_22_15
