khoảng cách trên,khoảng cách dưới
0.635,0.711,08_13_07
0.613,0.767,08_13_08
0.623,0.75,08_13_10
0.644,0.84,08_13_12
0.653,0.851,08_13_13
0.588,0.772,08_13_15
0.506,0.716,08_13_24
0.543,0.771,08_13_25
0.591,0.692,08_13_27
0.587,0.674,08_13_29
0.539,0.77,08_13_30
0.628,0.792,08_13_32
0.592,0.768,08_13_33
0.646,0.768,08_13_35
0.643,0.778,08_13_37
0.643,0.78,08_13_38
0.602,0.737,08_13_40
0.654,0.915,08_13_42
0.604,0.893,08_13_43
0.577,0.818,08_13_45
0.554,0.773,08_13_46
0.609,0.804,08_13_48
0.583,0.808,08_13_49
0.567,0.748,08_13_51
0.619,0.76,08_13_53
0.66,0.756,08_13_54
0.642,0.797,08_13_56
0.65,0.821,08_13_58
0.66,0.845,08_13_59
0.627,0.724,08_14_01
0.621,0.794,08_14_02
0.715,0.757,08_14_04
0.678,0.868,08_14_06
0.571,0.797,08_14_07
0.564,0.766,08_14_09
0.574,0.755,08_14_10
0.635,0.549,08_14_12
0.585,0.686,08_14_14
0.554,0.517,08_14_15
0.67,0.637,08_14_17
0.611,0.73,08_14_19
0.601,0.781,08_14_20
0.599,0.724,08_14_22
0.618,0.84,08_14_23
0.625,0.83,08_14_25
0.659,0.665,08_14_26
0.589,0.753,08_14_28
0.628,0.728,08_14_30
0.536,0.77,08_14_31
0.615,0.737,08_14_33
0.592,0.722,08_14_34
0.63,0.688,08_14_36
0.542,0.788,08_14_38
0.619,0.787,08_14_39
0.589,0.732,08_14_41
0.592,0.79,08_14_42
0.568,0.754,08_14_44
0.623,0.765,08_14_46
0.578,0.722,08_14_47
0.624,0.809,08_14_49
0.575,0.726,08_14_50
0.565,0.779,08_14_52
0.659,0.783,08_14_53
0.63,0.773,08_14_55
0.609,0.763,08_14_57
0.653,0.838,08_14_58
0.631,0.752,08_15_00
0.599,0.805,08_15_02
0.621,0.802,08_15_03
0.587,0.785,08_15_05
0.642,0.791,08_15_06
0.678,0.776,08_15_08
0.612,0.814,08_15_10
0.629,0.775,08_15_11
0.699,0.827,08_15_13
0.619,0.882,08_15_14
0.558,0.782,08_15_26
0.564,0.809,08_15_28
0.641,0.727,08_15_29
0.653,0.889,08_15_31
0.655,0.826,08_15_33
0.572,0.773,08_15_35
0.599,0.749,08_15_36
0.635,0.759,08_15_38
0.557,0.786,08_15_39
0.604,0.781,08_15_41
0.614,0.747,08_16_26
0.569,0.821,08_16_27
0.651,0.776,08_16_29
